Passenger Id,Title,First Name,Last Name,Sex,Age,Sibling/Spouse Aboard,Parent/Children Aboard,Passenger Class,Fare,Embarkation Port,Survival Boat,Body Number,Survived,age_group,family_size
1, Miss, Elisabeth Walton,Allen,female,29,0,0,1,211.3375,S,2,S,1,Adults,0
2, Master, Hudson Trevor,Allison,male,0.9167,1,2,1,151.55,S,11,S,1,Children,3
3, Miss, Helen Loraine,Allison,female,2,1,2,1,151.55,S,DNS,BNR,0,Children,3
4, Mr, Hudson Joshua Creighton,Allison,male,30,1,2,1,151.55,S,DNS,135,0,Adults,3
5, Mrs, Hudson J C (Bessie Waldo Daniels),Allison,female,25,1,2,1,151.55,S,DNS,BNR,0,Adults,3
6, Mr, Harry,Anderson,male,48,0,0,1,26.55,S,3,S,1,Adults,0
7, Miss, Kornelia Theodosia,Andrews,female,63,1,0,1,77.9583,S,10,S,1,Seniors,1
8, Mr, Thomas Jr,Andrews,male,39,0,0,1,0,S,DNS,BNR,0,Adults,0
9, Mrs, Edward Dale (Charlotte Lamson),Appleton,female,53,2,0,1,51.4792,S,D,S,1,Adults,2
10, Mr, Ramon,Artagaveytia,male,71,0,0,1,49.5042,C,DNS,22,0,Seniors,0
11, Col, John Jacob,Astor,male,47,1,0,1,227.525,C,DNS,124,0,Adults,1
12, Mrs, John Jacob (Madeleine Talmadge Force),Astor,female,18,1,0,1,227.525,C,4,S,1,Teenagers,1
13, Mme, Leontine Pauline,Aubart,female,24,0,0,1,69.3,C,9,S,1,Adults,0
14, Miss," Ellen ""Nellie""",Barber,female,26,0,0,1,78.85,S,6,S,1,Adults,0
15, Mr, Algernon Henry Wilson,Barkworth,male,80,0,0,1,30,S,B,S,1,Seniors,0
16, Mr, John D,Baumann,male,41.5,0,0,1,25.925,S,DNS,BNR,0,Adults,0
17, Mr, Quigg Edmond,Baxter,male,24,0,1,1,247.5208,C,DNS,BNR,0,Adults,1
18, Mrs, James (Helene DeLaudeniere Chaput),Baxter,female,50,0,1,1,247.5208,C,6,S,1,Adults,1
19, Miss, Albina,Bazzani,female,32,0,0,1,76.2917,C,8,S,1,Adults,0
20, Mr, Thomson,Beattie,male,36,0,0,1,75.2417,C,A,BNR,0,Adults,0
