Passenger Id,Age,Sibling/Spouse Aboard,Parent/Children Aboard,Passenger Class,Fare,Embarkation Port,Survival Boat,Body Number,Survived,Female,Male
1,29,0,0,1,211.3375,2,2,S,1,1,0
2,0.9167,1,2,1,151.55,2,11,S,1,0,1
3,2,1,2,1,151.55,2,DNS,BNR,0,1,0
4,30,1,2,1,151.55,2,DNS,135,0,0,1
5,25,1,2,1,151.55,2,DNS,BNR,0,1,0
6,48,0,0,1,26.55,2,3,S,1,0,1
7,63,1,0,1,77.9583,2,10,S,1,1,0
8,39,0,0,1,0,2,DNS,BNR,0,0,1
9,53,2,0,1,51.4792,2,D,S,1,1,0
10,71,0,0,1,49.5042,0,DNS,22,0,0,1
11,47,1,0,1,227.525,0,DNS,124,0,0,1
12,18,1,0,1,227.525,0,4,S,1,1,0
13,24,0,0,1,69.3,0,9,S,1,1,0
14,26,0,0,1,78.85,2,6,S,1,1,0
15,80,0,0,1,30,2,B,S,1,0,1
16,41.5,0,0,1,25.925,2,DNS,BNR,0,0,1
17,24,0,1,1,247.5208,0,DNS,BNR,0,0,1
18,50,0,1,1,247.5208,0,6,S,1,1,0
19,32,0,0,1,76.2917,0,8,S,1,1,0
20,36,0,0,1,75.2417,0,A,BNR,0,0,1
21,37,1,1,1,52.5542,2,5,S,1,0,1
22,47,1,1,1,52.5542,2,5,S,1,1,0
23,26,0,0,1,30,0,5,S,1,0,1
24,42,0,0,1,227.525,0,4,S,1,1,0
25,29,0,0,1,221.7792,2,8,S,1,1,0
26,25,0,0,1,26,0,DNS,148,0,0,1
27,25,1,0,1,91.0792,0,7,S,1,0,1
28,19,1,0,1,91.0792,0,7,S,1,1,0
29,35,0,0,1,135.6333,2,8,S,1,1,0
30,28,0,0,1,26.55,2,D,S,1,0,1
31,45,0,0,1,35.5,2,DNS,BNR,0,0,1
32,40,0,0,1,31,0,7,S,1,0,1
33,30,0,0,1,164.8667,2,8,S,1,1,0
34,58,0,0,1,26.55,2,8,S,1,1,0
35,42,0,0,1,26.55,2,DNS,BNR,0,0,1
36,45,0,0,1,262.375,0,4,S,1,1,0
37,22,0,1,1,55,2,6,S,1,1,0
38,41.5,0,0,1,26.55,2,9,S,1,0,1
39,41,0,0,1,30.5,2,DNS,BNR,0,0,1
40,48,0,0,1,50.4958,0,DNS,208,0,0,1
41,47,0,0,1,39.6,0,DNS,BNR,0,0,1
42,44,0,0,1,27.7208,0,6,S,1,1,0
43,59,2,0,1,51.4792,2,D,S,1,1,0
44,60,0,0,1,76.2917,0,8,S,1,1,0
45,41,0,0,1,134.5,0,3,S,1,1,0
46,45,0,0,1,26.55,2,DNS,BNR,0,0,1
47,41.5,0,0,1,31,2,DNS,BNR,0,0,1
48,42,0,0,1,26.2875,2,5,S,1,0,1
49,53,0,0,1,27.4458,0,6,S,1,1,0
50,36,0,1,1,512.3292,0,3,S,1,0,1
51,58,0,1,1,512.3292,0,3,S,1,1,0
52,33,0,0,1,5,2,DNS,BNR,0,0,1
53,28,0,0,1,47.1,2,DNS,BNR,0,0,1
54,17,0,0,1,47.1,2,DNS,BNR,0,0,1
55,11,1,2,1,120,2,4,S,1,0,1
56,14,1,2,1,120,2,4,S,1,1,0
57,36,1,2,1,120,2,C,S,1,0,1
58,36,1,2,1,120,2,4,S,1,1,0
59,49,0,0,1,26,2,DNS,BNR,0,0,1
60,45,0,0,1,27.7208,0,5,S,1,1,0
61,36,1,0,1,78.85,2,DNS,172,0,0,1
62,76,1,0,1,78.85,2,6,S,1,1,0
63,46,1,0,1,61.175,2,DNS,BNR,0,0,1
64,47,1,0,1,61.175,2,4,S,1,1,0
65,27,1,0,1,53.1,2,5,S,1,0,1
66,33,1,0,1,53.1,2,5,S,1,1,0
67,36,0,0,1,262.375,0,4,S,1,1,0
68,30,0,0,1,86.5,2,8,S,1,1,0
69,45,0,0,1,29.7,0,7,S,1,0,1
70,45,0,1,1,55,2,6,S,1,1,0
71,41.5,0,0,1,0,2,DNS,BNR,0,0,1
72,27,1,0,1,136.7792,0,DNS,BNR,0,0,1
73,26,1,0,1,136.7792,0,4,S,1,1,0
74,22,0,0,1,151.55,2,11,S,1,1,0
75,41.5,0,0,1,52,2,DNS,BNR,0,0,1
76,47,0,0,1,25.5875,2,DNS,BNR,0,0,1
77,39,1,1,1,83.1583,0,14,S,1,1,0
78,37,1,1,1,83.1583,0,DNS,BNR,0,0,1
79,64,0,2,1,83.1583,0,14,S,1,1,0
80,55,2,0,1,25.7,2,2,S,1,1,0
81,41.5,0,0,1,26.55,2,DNS,BNR,0,0,1
82,70,1,1,1,71,2,DNS,269,0,0,1
83,36,0,2,1,71,2,7,S,1,1,0
84,64,1,1,1,26.55,2,7,S,1,1,0
85,39,1,0,1,71.2833,0,DNS,BNR,0,0,1
86,38,1,0,1,71.2833,0,4,S,1,1,0
87,51,0,0,1,26.55,2,5 9,S,1,0,1
88,27,0,0,1,30.5,2,3,S,1,0,1
89,33,0,0,1,151.55,2,8,S,1,1,0
90,31,1,0,1,52,2,DNS,BNR,0,0,1
91,27,1,2,1,52,2,3,S,1,1,0
92,31,1,0,1,57,2,3,S,1,0,1
93,17,1,0,1,57,2,3,S,1,1,0
94,53,1,1,1,81.8583,2,13,S,1,0,1
95,4,0,2,1,81.8583,2,5,S,1,0,1
96,54,1,1,1,81.8583,2,5,S,1,1,0
97,50,1,0,1,106.425,0,DNS,62,0,0,1
98,27,1,1,1,247.5208,0,6,S,1,1,0
99,48,1,0,1,106.425,0,2,S,1,1,0
100,48,1,0,1,39.6,0,1,S,1,1,0
101,49,1,0,1,56.9292,0,1,S,1,0,1
102,39,0,0,1,29.7,0,DNS,133,0,0,1
103,23,0,1,1,83.1583,0,7,S,1,1,0
104,38,0,0,1,227.525,0,4,S,1,1,0
105,54,1,0,1,78.2667,0,4,S,1,1,0
106,36,0,0,1,31.6792,0,DNS,BNR,0,1,0
107,41.5,0,0,1,221.7792,2,DNS,BNR,0,0,1
108,45,0,0,1,31.6833,2,7,S,1,1,0
109,30,0,0,1,110.8833,0,4,S,1,1,0
110,36,0,0,1,26.3875,2,5,S,1,0,1
111,30,0,0,1,27.75,0,DNS,BNR,0,0,1
112,24,3,2,1,263,2,10,S,1,1,0
113,28,3,2,1,263,2,10,S,1,1,0
114,23,3,2,1,263,2,10,S,1,1,0
115,19,3,2,1,263,2,DNS,BNR,0,0,1
116,64,1,4,1,263,2,DNS,BNR,0,0,1
117,60,1,4,1,263,2,10,S,1,1,0
118,30,0,0,1,56.9292,0,1,S,1,1,0
119,41.5,0,0,1,26.55,2,DNS,BNR,0,0,1
120,50,2,0,1,133.65,2,5,S,1,0,1
121,43,1,0,1,27.7208,0,5,S,1,0,1
122,45,1,0,1,133.65,2,5,S,1,1,0
123,22,0,2,1,49.5,0,5,S,1,1,0
124,60,1,1,1,79.2,0,5,S,1,0,1
125,48,1,1,1,79.2,0,5,S,1,1,0
126,41.5,0,0,1,0,2,DNS,BNR,0,0,1
127,37,1,0,1,53.1,2,DNS,BNR,0,0,1
128,35,1,0,1,53.1,2,D,S,1,1,0
129,47,0,0,1,38.5,2,DNS,275,0,0,1
130,35,0,0,1,211.5,0,4,S,1,1,0
131,22,0,1,1,59.4,0,7,S,1,1,0
132,45,0,1,1,59.4,0,7,S,1,1,0
133,24,0,0,1,79.2,0,DNS,BNR,0,0,1
134,49,1,0,1,89.1042,0,5,S,1,0,1
135,45,1,0,1,89.1042,0,5,S,1,1,0
136,71,0,0,1,34.6542,0,DNS,BNR,0,0,1
137,53,0,0,1,28.5,0,B,S,1,0,1
138,19,0,0,1,30,2,3,S,1,1,0
139,38,0,1,1,153.4625,2,DNS,147,0,0,1
140,58,0,1,1,153.4625,2,3,S,1,1,0
141,23,0,1,1,63.3583,0,7,S,1,0,1
142,45,0,1,1,63.3583,0,7,S,1,1,0
143,46,0,0,1,79.2,0,DNS,BNR,0,0,1
144,25,1,0,1,55.4417,0,5,S,1,0,1
145,25,1,0,1,55.4417,0,5,S,1,1,0
146,48,1,0,1,76.7292,0,3,S,1,0,1
147,49,1,0,1,76.7292,0,3,S,1,1,0
148,41.5,0,0,1,42.4,2,DNS,BNR,0,0,1
149,45,1,0,1,83.475,2,DNS,BNR,0,0,1
150,35,1,0,1,83.475,2,D,S,1,1,0
151,40,0,0,1,0,2,DNS,110,0,0,1
152,27,0,0,1,76.7292,0,3,S,1,0,1
153,41.5,0,0,1,30,2,3,S,1,0,1
154,24,0,0,1,83.1583,0,7,S,1,1,0
155,55,1,1,1,93.5,2,DNS,307,0,0,1
156,52,1,1,1,93.5,2,3,S,1,1,0
157,42,0,0,1,42.5,2,DNS,BNR,0,0,1
158,41.5,0,0,1,51.8625,2,DNS,BNR,0,0,1
159,55,0,0,1,50,2,DNS,BNR,0,0,1
160,16,0,1,1,57.9792,0,4,S,1,1,0
161,44,0,1,1,57.9792,0,4,S,1,1,0
162,51,1,0,1,77.9583,2,10,S,1,1,0
163,42,1,0,1,52,2,DNS,38,0,0,1
164,35,1,0,1,52,2,8,S,1,1,0
165,35,0,0,1,26.55,0,15,S,1,0,1
166,38,1,0,1,90,2,D,S,1,0,1
167,41.5,0,0,1,30.6958,0,14,BNR,0,0,1
168,35,1,0,1,90,2,D,S,1,1,0
169,38,0,0,1,80,2,6,S,1,1,0
170,50,0,0,1,28.7125,0,DNS,BNR,0,1,0
171,49,0,0,1,0,2,C,S,1,0,1
172,46,0,0,1,26,2,DNS,80,0,0,1
173,50,0,0,1,26,2,DNS,BNR,0,0,1
174,32.5,0,0,1,211.5,0,DNS,45,0,0,1
175,58,0,0,1,29.7,0,DNS,258,0,0,1
176,41,1,0,1,51.8625,2,DNS,BNR,0,0,1
177,45,1,0,1,51.8625,2,8,S,1,1,0
178,42,1,0,1,52.5542,2,5,S,1,0,1
179,45,1,0,1,52.5542,2,5,S,1,1,0
180,41.5,0,0,1,26.55,2,DNS,BNR,0,0,1
